1) byfreeshock =>  by free shock
2) lightweight =>  lightweight
3) themagnetic =>  them a g net i
4) theboundary =>  the boundary
5) viscousself =>  viscous self
6) inthispaper =>  in this paper
7) theunsteady =>  the unsteady
8) symmetrical =>  symmetrical
9) normalforce =>  normalforce
10) placeholder =>  placeholder
11) transitional =>  transitional
12) hasbecomethe =>  has become the
13) exactconical =>  exact conical
14) compressible =>  compressible
15) wherethemean =>  where them e an
16) afiniteregion =>  a finite region
17) itiswellknown =>  it is wellknown
18) thecontinuity =>  the continuity
19) inarecentnote =>  in are cent note
20) stackingstudy =>  stacking study
21) timehistories =>  time histories
22) thestewartson =>  the stewartson
23) iftheboundary =>  if the boundary
24) avehiclecanbe =>  a vehicle can be
25) analysisofthe =>  analysis of the
26) skinstiffener =>  skins t if f e n er
27) forcertainaero =>  force rt a in aero
28) ateachoftwenty =>  at each of twenty
29) inarecentpaper =>  in are cent paper
30) asimplepicture =>  as im p l e picture
31) byusingakarman =>  by using a karman
32) theauthorgives =>  the author gives
33) fullydeveloped =>  fully developed
34) supersonicwind =>  supersonic wind
35) thepresenceofa =>  the presence of a
36) whererisaplane =>  where r is a plane
37) footsupersonic =>  foot supersonic
38) aninductiondrag =>  an induction drag
39) theadventofhigh =>  the advent of high
40) dimensionalwind =>  dimensional wind
41) lengthmechanism =>  length mechanism
42) inarecentletter =>  in are cent letter
43) theeffectsoflow =>  the effects of low
44) airfoilprofiles =>  airfoil profiles
45) transferandskin =>  transfer and skin
46) experimentsonaxi =>  experiments on axi
47) atheoryofrounded =>  at he or y ofr o u nd e d
48) comparisonofheat =>  comparison of heat
49) theuseofboundary =>  the use of boundary
50) asurveyofthestate =>  as u r v e y of the state
51) reasonsforenquiry =>  reasons fore n q u i r y
52) withtheabovetitle =>  with the above title
53) analternativesemi =>  an alternatives e m i
54) flowairfoiltheory =>  flow airfoil theory
55) whichdiscussedoil =>  which discussed oil
56) theresultsofshort =>  there s u l t so f short
57) localheattransfer =>  local heattransfer
58) inthissummarypaper =>  in this summary paper
59) itispointedoutthat =>  it is pointed out that
60) intheanalysisofone =>  in the analysis of one
61) speedresearchontwo =>  speed research on two
62) undertheabovetitle =>  under the above title
63) formsolutionsofthe =>  forms o l u tions of the
64) considersamaterial =>  considers a material
65) theauthorrewritesv =>  the author rewrites v
66) themodifiedslender =>  them o d if i e d slender
67) theeffectofastrong =>  the effect of as tr on g
68) theintensityofshock =>  the intensity of shock
69) anapproximatemethod =>  an approximate method
70) inthefirstpartofthe =>  in the first part of the
71) calculationofsecond =>  calculation of second
72) thehotouterinviscid =>  the hot outer inviscid
73) isextendedtoinclude =>  is extended to include
74) itisshownthatthetwo =>  it is shown that the two
75) ananalysisofthepart =>  an analysis of the part
76) aseparatedflowfield =>  as e para t e d flow field
77) fromahoveringaerial =>  from a hovering aerial
78) theeffectofaforward =>  the effect of a forward
79) anintegralexpression =>  an integral expression
80) inthepibalhypersonic =>  in the pibal hypersonic
81) therelationofthetime =>  there la tion of the time
82) transfercoefficients =>  transfer coefficients
83) thedevelopmentrocket =>  the development rocket
84) ofplanelaminarmotion =>  of plane laminar motion
85) theresultsaregivenof =>  there s u l t s are given of
86) infirstapproximation =>  in first approximation
87) thebasisofanythermal =>  the basis of any thermal
88) withoblateatmosphere =>  with oblate atmosphere
89) distributionandforce =>  distribution and force
90) pressuremeasurements =>  pressure measurements
91) layerequationsandthe =>  layer equations and the
92) amethodispresentedfor =>  a method is presented for
93) thevelocitypotentials =>  the velocity potentials
94) thelaplacetransformof =>  the laplace transform of
95) airandheliuminjection =>  air and helium injection
96) thepaperdealswithself =>  the paper deals with self
97) intherecentpaperbyzuk =>  in there cent paper by zuk
98) thestabilitytheoryofa =>  the stability theory of a
99) thereflectionofashock =>  there fl e
100) methodsbasedonoblique =>  methods based on oblique
101) pitchingmomentandfull =>  pitchingmoment and full
102) withaviewtothestudyof =>  with a view to the study of
103) theshapeandnatureofthe =>  the shape and nature of the
104) examinationofthecrocco =>  examination of the crocco
105) aninvestigationatafree =>  an investigation at a free
106) tunnelinvestigationwas =>  tunnel investigation was
107) anewmethodhasbeengiven =>  an e w method has been given
108) amultiwebwingstructure =>  a multiweb wings tr u
109) ananalysisisgivenofthe =>  an analysis is given of the
110) thedynamiclongitudinal =>  the dynamic longitudinal
111) platetheoryforturbulent =>  plate theory fort u r bulent
112) someofthetheoriesfortwo =>  some of the theories fort w o
113) thisnotediscussesthetwo =>  this noted is
114) waveisformedinfrontofit =>  wave is formed in front of it
115) testsonthestorageheater =>  tests on the storage heater
116) werecarriedoutusingahot =>  were carried out using a hot
117) theforciblebucklingofan =>  the forcible buckling of an
118) resultsoffluttertestson =>  results off l u t t er tests on
119) lagrangianmethodsinheat =>  lagrangian methods in heat
120) themodelusedisthatoftwo =>  them o de l used is that of two
121) thedifferentialanalyser =>  the differential analyser
122) theequationsforplanartwo =>  the equations for planar two
123) transversemagneticfields =>  transverse magnetic fields
